obsnme,obsval,weight,obgnme
loc001n0529,167.06,1.0,07346X0017
loc001n0531,166.91,1.0,07346X0017
loc001n0533,166.78,1.0,07346X0017
loc001n0535,166.63,1.0,07346X0017
loc001n0537,166.45,1.0,07346X0017
loc001n0539,166.34,1.0,07346X0017
loc001n0541,166.25,1.0,07346X0017
loc001n0543,167.94,1.0,07346X0017
loc001n0545,168.71,1.0,07346X0017
loc001n0547,168.34,1.0,07346X0017
loc001n0549,168.29,1.0,07346X0017
loc001n0553,168.11,1.0,07346X0017
loc001n0554,168.0,1.0,07346X0017
loc001n0556,167.81,1.0,07346X0017
loc001n0558,167.61,1.0,07346X0017
loc001n0560,167.45,1.0,07346X0017
loc001n0562,167.25,1.0,07346X0017
loc001n0564,167.06,1.0,07346X0017
loc001n0566,166.9,1.0,07346X0017
loc001n0568,166.74,1.0,07346X0017
loc001n0570,166.59,1.0,07346X0017
loc001n0572,166.44,1.0,07346X0017
loc001n0574,166.32,1.0,07346X0017
loc001n0576,166.17,1.0,07346X0017
loc001n0578,166.06,1.0,07346X0017
loc001n0580,165.94,1.0,07346X0017
loc001n0583,165.77,1.0,07346X0017
loc001n0584,165.72,1.0,07346X0017
loc001n0586,165.6,1.0,07346X0017
loc001n0588,165.5,1.0,07346X0017
loc001n0590,165.42,1.0,07346X0017
loc001n0592,165.31,1.0,07346X0017
loc001n0594,165.21,1.0,07346X0017
loc001n0596,165.12,1.0,07346X0017
loc001n0598,165.01,1.0,07346X0017
loc001n0600,164.92,1.0,07346X0017
loc001n0602,164.85,1.0,07346X0017
loc001n0604,164.72,1.0,07346X0017
loc001n0606,164.63,1.0,07346X0017
loc001n0608,164.54,1.0,07346X0017
loc001n0610,164.43,1.0,07346X0017
loc001n0614,164.18,1.0,07346X0017
loc001n0615,164.14,1.0,07346X0017
loc001n0617,164.04,1.0,07346X0017
loc001n0619,163.9,1.0,07346X0017
loc001n0621,163.8,1.0,07346X0017
loc001n0623,163.7,1.0,07346X0017
loc001n0625,163.58,1.0,07346X0017
loc001n0627,163.54,1.0,07346X0017
loc001n0629,163.47,1.0,07346X0017
loc001n0631,163.36,1.0,07346X0017
loc001n0633,163.27,1.0,07346X0017
loc001n0635,163.16,1.0,07346X0017
loc001n0637,163.06,1.0,07346X0017
loc001n0639,162.97,1.0,07346X0017
loc001n0641,162.88,1.0,07346X0017
loc001n0645,162.67,1.0,07346X0017
loc001n0646,162.62,1.0,07346X0017
loc001n0648,162.53,1.0,07346X0017
loc001n0650,162.42,1.0,07346X0017
loc001n0652,162.32,1.0,07346X0017
loc001n0654,162.21,1.0,07346X0017
loc001n0656,162.11,1.0,07346X0017
loc001n0658,161.99,1.0,07346X0017
loc001n0660,161.91,1.0,07346X0017
loc001n0662,161.82,1.0,07346X0017
loc001n0664,161.72,1.0,07346X0017
loc001n0666,161.6,1.0,07346X0017
loc001n0668,161.5,1.0,07346X0017
loc001n0670,161.39,1.0,07346X0017
loc001n0672,161.27,1.0,07346X0017
loc001n0675,161.12,1.0,07346X0017
loc001n0676,161.07,1.0,07346X0017
loc001n0678,160.98,1.0,07346X0017
loc001n0680,160.89,1.0,07346X0017
loc001n0682,160.83,1.0,07346X0017
loc001n0684,160.74,1.0,07346X0017
loc001n0686,160.68,1.0,07346X0017
loc001n0688,160.61,1.0,07346X0017
loc001n0690,160.53,1.0,07346X0017
loc001n0692,160.44,1.0,07346X0017
loc001n0694,160.34,1.0,07346X0017
loc001n0696,160.25,1.0,07346X0017
loc001n0698,160.15,1.0,07346X0017
loc001n0700,160.08,1.0,07346X0017
loc001n0702,159.99,1.0,07346X0017
loc001n0706,159.83,1.0,07346X0017
loc001n0707,159.8,1.0,07346X0017
loc001n0709,159.73,1.0,07346X0017
loc001n0711,159.68,1.0,07346X0017
loc001n0713,159.54,1.0,07346X0017
loc001n0715,159.39,1.0,07346X0017
loc001n0717,159.32,1.0,07346X0017
loc001n0719,159.3,1.0,07346X0017
loc001n0721,159.29,1.0,07346X0017
loc001n0723,160.88,1.0,07346X0017
loc001n0725,161.21,1.0,07346X0017
loc001n0727,161.17,1.0,07346X0017
loc001n0729,161.02,1.0,07346X0017
loc001n0731,161.72,1.0,07346X0017
loc001n0733,162.78,1.0,07346X0017
loc001n0736,162.5,1.0,07346X0017
loc001n0737,162.38,1.0,07346X0017
loc001n0739,162.1,1.0,07346X0017
loc001n0741,161.86,1.0,07346X0017
loc001n0743,161.6,1.0,07346X0017
loc001n0745,161.37,1.0,07346X0017
